samplenumber,sample.id,sam,plate,row,col,Num,Trial,con,Inoc,Substrate,Treatment,Type,T.T,Merge.ID,is.control,is.water,is.pythium,Shannon,Simpson,Block,Score
2,2-16s_S2,2,1,B,1,1,T1,30,Inoculated,Peatlite,1_Peatlite,16,1_Peatlite_16s,2-16s_S2_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,6.15951183887816,0.99705416313682,1,2.5
4,4-16s_S4,4,1,D,1,13,T1,16.5,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,4-16s_S4_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.88256468627922,0.996308606522045,1,1.5
5,5-16s_S5,5,1,E,1,14,T1,30.8,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,5-16s_S5_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.47451316468148,0.994723288152696,3,3.5
6,6-16s_S6,6,1,F,1,15,T1,17.8,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,6-16s_S6_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.6245829864027,0.995287934268875,2,2
7,7-16s_S7,7,1,G,1,16,T1,17.7,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,7-16s_S7_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,4.31042891136319,0.980948601778247,3,2.5
8,8-16s_S8,8,1,H,1,17,T1,20.4,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,8-16s_S8_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.25044735513658,0.978058106729238,2,2.5
10,10-16s_S10,10,1,B,2,2,T1,18.3,Inoculated,Peatlite,1_Peatlite,16,1_Peatlite_16s,10-16s_S10_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.38903157004563,0.99378476407063,3,3
15,15-16s_S15,15,1,G,2,21,T1,14.7,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,15-16s_S15_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.96916461092865,0.996489789790083,2,1.5
16,16-16s_S16,16,1,H,2,22,T1,12.9,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,16-16s_S16_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,4.23385834915525,0.979700931568633,3,2
18,18-16s_S18,18,1,B,3,3,T1,26,Inoculated,Peatlite,1_Peatlite,16,1_Peatlite_16s,18-16s_S18_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,4.41232548939862,0.98413471250726,2,3
20,20-16s_S20,20,1,D,3,23,T1,25,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,20-16s_S20_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.0301891195606,0.991641889363838,2,1.5
22,22-16s_S22,22,1,F,3,25,T1,13.5,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,22-16s_S22_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,6.12607738177759,0.995892514787597,1,3
24,24-16s_S24,24,1,H,3,27,T1,25.5,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,24-16s_S24_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.71748088082905,0.994854677807476,2,1.5
26,26-16s_S26,26,1,B,4,4,T1,29.4,Inoculated,Peatlite,1_Peatlite,16,1_Peatlite_16s,26-16s_S26_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,3.79141364598815,0.970292221588219,3,3.5
28,28-16s_S28,28,1,D,4,28,T1,38.1,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,28-16s_S28_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.79180693791619,0.995057534577879,3,2
29,29-16s_S29,29,1,E,4,29,T1,23.7,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,29-16s_S29_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,4.46301839738604,0.986466863008514,2,3
30,30-16s_S30,30,1,F,4,30,T1,16.7,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,30-16s_S30_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,6.09380934593452,0.996340449636052,1,3
31,31-16s_S31,31,1,G,4,31,T1,14.2,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,31-16s_S31_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,3.45151466261057,0.951745268886617,1,3.5
32,32-16s_S32,32,1,H,4,32,T1,18.1,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,32-16s_S32_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,4.94749843693222,0.991065377136941,3,2
36,36-16s_S36,36,1,D,5,33,T1,13.6,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,36-16s_S36_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.63713650197185,0.994519413178212,2,1
37,37-16s_S37,37,1,E,5,34,T1,24.3,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,37-16s_S37_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.68625650635535,0.994547599040812,3,1.5
38,38-16s_S38,38,1,F,5,35,T1,19.5,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,38-16s_S38_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.11963341421353,0.992193678847137,2,2
39,39-16s_S39,39,1,G,5,36,T1,25.2,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,39-16s_S39_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.20147027177413,0.992900830342543,1,1.5
40,40-16s_S40,40,1,H,5,37,T1,16.3,Water Control,Extruded Green-Fibre®,0_Extruded FG,16,0_Extruded FG_16s,40-16s_S40_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.78649067525423,0.992409089668936,1,1
42,42-16s_S42,42,1,B,6,6,T1,31.7,Inoculated,Peatlite,1_Peatlite,16,1_Peatlite_16s,42-16s_S42_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,4.08551236466263,0.978565853798678,1,4
45,45-16s_S45,45,1,E,6,39,T1,22.3,Inoculated,Extruded Green-Fibre®,1_Extruded FG,16,1_Extruded FG_16s,45-16s_S45_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.04922815844542,0.991306018291994,2,2
46,46-16s_S46,46,1,F,6,40,T1,19.2,Inoculated,Extruded Green-Fibre®,1_Extruded FG,16,1_Extruded FG_16s,46-16s_S46_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.21327064388217,0.993146844297437,3,2.5
47,47-16s_S47,47,1,G,6,41,T1,25.1,Inoculated,Extruded Green-Fibre®,1_Extruded FG,16,1_Extruded FG_16s,47-16s_S47_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.59797294549521,0.994876907282642,2,2
48,48-16s_S48,48,1,H,6,42,T1,15,Inoculated,Extruded Green-Fibre®,1_Extruded FG,16,1_Extruded FG_16s,48-16s_S48_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.7679215644608,0.994969737013003,1,1.5
52,52-16s_S52,52,1,D,7,43,T1,18.5,Water Control,Extruded Green-Fibre®,0_Extruded FG,16,0_Extruded FG_16s,52-16s_S52_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,6.02727458203071,0.99609775057031,1,2
53,53-16s_S53,53,1,E,7,44,T1,17.1,Water Control,Extruded Green-Fibre®,0_Extruded FG,16,0_Extruded FG_16s,53-16s_S53_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.60429734866048,0.994552487699936,3,1.5
54,54-16s_S54,54,1,F,7,45,T1,47.7,Water Control,Extruded Green-Fibre®,0_Extruded FG,16,0_Extruded FG_16s,54-16s_S54_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.98062016123783,0.994429307457791,2,3
56,56-16s_S56,56,1,H,7,47,T1,26.5,Water Control,Extruded Green-Fibre®,0_Extruded FG,16,0_Extruded FG_16s,56-16s_S56_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.26179867777594,0.990317581888664,2,2
60,60-16s_S60,60,1,D,8,48,T1,8.74,Water Control,Extruded Green-Fibre®,0_Extruded FG,16,0_Extruded FG_16s,60-16s_S60_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,4.3958793196203,0.98431510242082,1,2
66,66-16s_S66,66,1,B,9,9,T1,14.4,Water Control,Peatlite,0_Peatlite,16,0_Peatlite_16s,66-16s_S66_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,4.6421565536546,0.986577805179998,2,1.5
74,74-16s_S74,74,1,B,10,10,T1,18.1,Water Control,Peatlite,0_Peatlite,16,0_Peatlite_16s,74-16s_S74_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,6.13422145041938,0.996638864649782,3,1.5
79,79-16s_S79,79,1,G,10,1,T2,31,Water Control,Peatlite,0_Peatlite,16,0_Peatlite_16s,79-16s_S79_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.93390515660758,0.9930570687582,1,3.5
80,80-16s_S80,80,1,H,10,2,T2,26.7,Inoculated,Peatlite,1_Peatlite,16,1_Peatlite_16s,80-16s_S80_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.54965277530798,0.994188070409784,3,2
82,82-16s_S82,82,1,B,11,11,T1,22.2,Water Control,Peatlite,0_Peatlite,16,0_Peatlite_16s,82-16s_S82_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.46298619095632,0.992472124525597,2,1.5
84,84-16s_S84,84,1,D,11,3,T2,9.48,Inoculated,Peatlite,1_Peatlite,16,1_Peatlite_16s,84-16s_S84_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,6.06805232817033,0.996083688337752,2,2.5
85,85-16s_S85,85,1,E,11,4,T2,9.51,Inoculated,Peatlite,1_Peatlite,16,1_Peatlite_16s,85-16s_S85_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,6.02252166316326,0.994786878237546,3,2.5
86,86-16s_S86,86,1,F,11,5,T2,10.3,Inoculated,Peatlite,1_Peatlite,16,1_Peatlite_16s,86-16s_S86_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.61649127803363,0.99428532623838,2,2.5
87,87-16s_S87,87,1,G,11,6,T2,10.2,Inoculated,Peatlite,1_Peatlite,16,1_Peatlite_16s,87-16s_S87_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,6.33488788781326,0.996679057366644,1,2.5
88,88-16s_S88,88,1,H,11,7,T2,14.6,Water Control,Peatlite,0_Peatlite,16,0_Peatlite_16s,88-16s_S88_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,4.02521210099377,0.97844178284499,1,1
92,92-16s_S92,92,1,D,12,8,T2,13,Water Control,Peatlite,0_Peatlite,16,0_Peatlite_16s,92-16s_S92_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.93134947765237,0.995791935021307,3,0.5
93,93-16s_S93,93,1,E,12,9,T2,12.9,Water Control,Peatlite,0_Peatlite,16,0_Peatlite_16s,93-16s_S93_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.59931960105942,0.994874890564248,2,0
94,94-16s_S94,94,1,F,12,10,T2,10.9,Water Control,Peatlite,0_Peatlite,16,0_Peatlite_16s,94-16s_S94_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,6.10774869861156,0.996111857173358,3,1
95,95-16s_S95,95,1,G,12,11,T2,11.3,Water Control,Peatlite,0_Peatlite,16,0_Peatlite_16s,95-16s_S95_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,4.29927480323951,0.981561750105749,2,0.5
96,96-16s_S96,96,1,H,12,12,T2,32.1,Water Control,Peatlite,0_Peatlite,16,0_Peatlite_16s,96-16s_S96_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,6.1169669618419,0.995349239355994,1,0.5
97,97-16s_S97,97,2,A,1,13,T2,15.8,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,97-16s_S97_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,3.72498225310601,0.966398115663196,1,3
98,98-16s_S98,98,2,B,1,14,T2,23.5,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,98-16s_S98_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.3288957822548,0.990233948151822,3,0.5
102,102-16s_S102,102,2,F,1,18,T2,13.7,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,102-16s_S102_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.97921052202157,0.996237676698391,1,2
103,103-16s_S103,103,2,G,1,19,T2,35.3,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,103-16s_S103_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.68429204617606,0.99545322082931,1,1
104,104-16s_S104,104,2,H,1,20,T2,19.5,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,104-16s_S104_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,4.7405467431538,0.989135003446201,3,0.5
105,105-16s_S105,105,2,A,2,21,T2,26.7,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,105-16s_S105_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.85089784409559,0.995787168426774,2,0.5
107,107-16s_S107,107,2,C,2,23,T2,16.2,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,107-16s_S107_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,6.16813254583096,0.996798875069798,2,0
108,108-16s_S108,108,2,D,2,24,T2,16,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,108-16s_S108_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,6.17784606961062,0.996658950015819,1,0.5
109,109-16s_S109,109,2,E,2,25,T2,24.3,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,109-16s_S109_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.98380884582927,0.995936018288408,1,2
110,110-16s_S110,110,2,F,2,26,T2,23.6,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,110-16s_S110_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.9005141711031,0.995062524961705,3,1
111,111-16s_S111,111,2,G,2,27,T2,24,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,111-16s_S111_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,6.05219647898387,0.995029804532741,2,1.5
